MSN,YYYYMM,Value,Column_Order,Description,Unit
NUETSUS,198508,15.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198509,17,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198510,16,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198511,15.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198512,15.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198513,15.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198601,16.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198602,17,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198603,15.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198604,16.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198605,16.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198606,14.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198607,14.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198608,16.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198609,17.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198610,18.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198611,17.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198612,18.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198613,16.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198701,17.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198702,18.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198703,18.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198704,17.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198705,16.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198706,16.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198707,16.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198708,16.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198709,18.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198710,18,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198711,18.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198712,19,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198713,17.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198801,18.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198802,19.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198803,20.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198804,20.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198805,19.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198806,18.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198807,19.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198808,18.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198809,21,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198810,20.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198811,18.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198812,18.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198813,19.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198901,18.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198902,16.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198903,16.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198904,15,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198905,16.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198906,17.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198907,19.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198908,20,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198909,18.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198910,18.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198911,18.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198912,18.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,198913,17.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199001,21.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199002,21.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199003,18.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199004,16.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199005,17.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199006,17.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199007,18.7,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199008,19.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199009,18.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199010,17.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199011,19.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199012,20.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199013,19,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199101,20.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199102,21,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199103,20.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199104,18.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199105,18.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199106,20.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199107,20.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199108,20,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199109,20.3,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199110,19.4,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199111,19.2,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199112,21.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199113,19.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199201,21.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199202,22,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199203,18.5,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199204,18.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199205,18.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199206,19.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199207,19.1,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199208,20.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199209,19.6,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199210,19.9,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199211,20.8,4,Nuclear Share of Electricity Net Generation,Percent
NUETSUS,199212,21.7,4,Nuclear Share of Electricity Net Generation,Percent
